name,categories,profile_url,has_profile
Albert Einstein,"change, deep-thoughts, thinking, world",https://quotes.toscrape.com/author/Albert-Einstein,True
J.K. Rowling,"abilities, choices",https://quotes.toscrape.com/author/J-K-Rowling,True
Jane Austen,"aliteracy, books, classic, humor",https://quotes.toscrape.com/author/Jane-Austen,True
Marilyn Monroe,"be-yourself, inspirational",https://quotes.toscrape.com/author/Marilyn-Monroe,True
André Gide,"life, love",https://quotes.toscrape.com/author/Andre-Gide,True
Thomas A. Edison,"edison, failure, inspirational, paraphrased",https://quotes.toscrape.com/author/Thomas-A-Edison,True
Eleanor Roosevelt,misattributed-eleanor-roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt,True
Steve Martin,"humor, obvious, simile",https://quotes.toscrape.com/author/Steve-Martin,True
Bob Marley,love,https://quotes.toscrape.com/author/Bob-Marley,True
Dr. Seuss,fantasy,https://quotes.toscrape.com/author/Dr-Seuss,True
Douglas Adams,"life, navigation",https://quotes.toscrape.com/author/Douglas-Adams,True
Elie Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",https://quotes.toscrape.com/author/Elie-Wiesel,True
Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",https://quotes.toscrape.com/author/Friedrich-Nietzsche,True
Mark Twain,"books, contentment, friends, friendship, life",https://quotes.toscrape.com/author/Mark-Twain,True
Allen Saunders,"fate, life, misattributed-john-lennon, planning, plans",https://quotes.toscrape.com/author/Allen-Saunders,True
Pablo Neruda,"love, poetry",https://quotes.toscrape.com/author/Pablo-Neruda,True
Ralph Waldo Emerson,happiness,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,True
Mother Teresa,attributed-no-source,https://quotes.toscrape.com/author/Mother-Teresa,True
Garrison Keillor,"humor, religion",https://quotes.toscrape.com/author/Garrison-Keillor,True
Jim Henson,humor,https://quotes.toscrape.com/author/Jim-Henson,True
Charles M. Schulz,"chocolate, food, humor",https://quotes.toscrape.com/author/Charles-M-Schulz,True
William Nicholson,"misattributed-to-c-s-lewis, reading",https://quotes.toscrape.com/author/William-Nicholson,True
Jorge Luis Borges,"books, library",https://quotes.toscrape.com/author/Jorge-Luis-Borges,True
George Eliot,inspirational,https://quotes.toscrape.com/author/George-Eliot,True
George R.R. Martin,"read, readers, reading, reading-books",https://quotes.toscrape.com/author/George-R-R-Martin,True
C.S. Lewis,"books, inspirational, reading, tea",https://quotes.toscrape.com/author/C-S-Lewis,True
Martin Luther King Jr.,"hope, inspirational",https://quotes.toscrape.com/author/Martin-Luther-King-Jr,True
James Baldwin,love,https://quotes.toscrape.com/author/James-Baldwin,True
Haruki Murakami,"books, thought",https://quotes.toscrape.com/author/Haruki-Murakami,True
Alexandre Dumas fils,misattributed-to-einstein,https://quotes.toscrape.com/author/Alexandre-Dumas-fils,True
Stephenie Meyer,"drug, romance, simile",https://quotes.toscrape.com/author/Stephenie-Meyer,True
Ernest Hemingway,"books, friends, novelist-quotes",https://quotes.toscrape.com/author/Ernest-Hemingway,True
Helen Keller,inspirational,https://quotes.toscrape.com/author/Helen-Keller,True
George Bernard Shaw,"inspirational, life, yourself",https://quotes.toscrape.com/author/George-Bernard-Shaw,True
Charles Bukowski,alcohol,https://quotes.toscrape.com/author/Charles-Bukowski,True
Suzanne Collins,the-hunger-games,https://quotes.toscrape.com/author/Suzanne-Collins,True
J.R.R. Tolkien,"bilbo, journey, lost, quest, travel, wander",https://quotes.toscrape.com/author/J-R-R-Tolkien,True
Alfred Tennyson,"friendship, love",https://quotes.toscrape.com/author/Alfred-Tennyson,True
Terry Pratchett,"humor, open-mind, thinking",https://quotes.toscrape.com/author/Terry-Pratchett,True
J.D. Salinger,"authors, books, literature, reading, writing",https://quotes.toscrape.com/author/J-D-Salinger,True
George Carlin,"humor, insanity, lies, lying, self-indulgence, truth",https://quotes.toscrape.com/author/George-Carlin,True
John Lennon,"beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace",https://quotes.toscrape.com/author/John-Lennon,True
W.C. Fields,"humor, sinister",https://quotes.toscrape.com/author/W-C-Fields,True
Ayn Rand,,https://quotes.toscrape.com/author/Ayn-Rand,True
Jimi Hendrix,"death, life",https://quotes.toscrape.com/author/Jimi-Hendrix,True
J.M. Barrie,"adventure, love",https://quotes.toscrape.com/author/J-M-Barrie,True
E.E. Cummings,courage,https://quotes.toscrape.com/author/E-E-Cummings,True
Khaled Hosseini,life,https://quotes.toscrape.com/author/Khaled-Hosseini,True
Harper Lee,better-life-empathy,https://quotes.toscrape.com/author/Harper-Lee,True
Madeleine L'Engle,"books, children, difficult, grown-ups, write, writers, writing",https://quotes.toscrape.com/author/Madeleine-LEngle,True
